Entity,Code,Year,"Meat, total | 00002943 || Food available for consumption | 0645pc || kilograms per year per capita"
Afghanistan,AFG,2021,8.74
Africa,,2021,17.778818
Africa (FAO),,2021,17.78
Albania,ALB,2021,51.99
Algeria,DZA,2021,17.920002
Americas (FAO),,2021,93.98
Angola,AGO,2021,19.979996
Antigua and Barbuda,ATG,2021,85.791725
Argentina,ARG,2021,115.47999
Armenia,ARM,2021,59.98998
Asia,,2021,33.395992
Asia (FAO),,2021,33.45
Australia,AUS,2021,110.14999
Austria,AUT,2021,76.389946
Azerbaijan,AZE,2021,37.13999
Bahamas,BHS,2021,111.89726
Bahrain,BHR,2021,82.840225
Bangladesh,BGD,2021,4.3000007
Barbados,BRB,2021,86.37877
Belarus,BLR,2021,88.919975
Belgium,BEL,2021,66.150024
Belize,BLZ,2021,56.619007
Benin,BEN,2021,15.619999
Bhutan,BTN,2021,13.559826
Bolivia,BOL,2021,78.36997
Bosnia and Herzegovina,BIH,2021,46.829887
Botswana,BWA,2021,30.139952
Brazil,BRA,2021,98.84
Bulgaria,BGR,2021,61.800053
Burkina Faso,BFA,2021,33.319984
Burundi,BDI,2021,3.5099986
Cambodia,KHM,2021,12.639992
Cameroon,CMR,2021,14.609999
Canada,CAN,2021,86.85
Cape Verde,CPV,2021,38.408955
Caribbean (FAO),,2021,45.46
Central African Republic,CAF,2021,34.409904
Central America (FAO),,2021,66.99
Central Asia (FAO),,2021,49.45
Chad,TCD,2021,47.12999
Chile,CHL,2021,97.78003
China,CHN,2021,62.75
China (FAO),,2021,63.64
Colombia,COL,2021,60.94
Comoros,COM,2021,34.529915
Congo,COG,2021,45.95997
Costa Rica,CRI,2021,62.17001
Cote d'Ivoire,CIV,2021,12.61
Croatia,HRV,2021,90.78002
Cuba,CUB,2021,49.639988
Cyprus,CYP,2021,75.76981
Czechia,CZE,2021,82.40002
Democratic Republic of Congo,COD,2021,3.03
Denmark,DNK,2021,70.48993
Djibouti,DJI,2021,14.829974
Dominica,DMA,2021,81.58184
Dominican Republic,DOM,2021,53.529984
East Timor,TLS,2021,17.179947
Eastern Africa (FAO),,2021,12.23
Eastern Asia (FAO),,2021,63.02
Eastern Europe (FAO),,2021,74.39
Ecuador,ECU,2021,50.91001
Egypt,EGY,2021,29.109999
El Salvador,SLV,2021,43.850033
Estonia,EST,2021,72.06978
Eswatini,SWZ,2021,27.109932
Ethiopia,ETH,2021,7.1400003
Europe,,2021,77.58159
Europe (FAO),,2021,77.64
European Union (27),,2021,80.161095
European Union (27) (FAO),,2021,80.16
Fiji,FJI,2021,44.40976
Finland,FIN,2021,74.04011
France,FRA,2021,86.05999
French Polynesia,PYF,2021,92.44756
Gabon,GAB,2021,66.33985
Gambia,GMB,2021,16.709986
Georgia,GEO,2021,37.76996
Germany,DEU,2021,76.58998
Ghana,GHA,2021,20.899996
Greece,GRC,2021,76.79995
Grenada,GRD,2021,78.61117
Guatemala,GTM,2021,42.089993
Guinea,GIN,2021,16.660002
Guinea-Bissau,GNB,2021,14.689928
Guyana,GUY,2021,72.41991
Haiti,HTI,2021,21.54999
High-income countries,,2021,91.83566
Honduras,HND,2021,38.750015
Hong Kong,HKG,2021,146.85
Hungary,HUN,2021,82.080055
Iceland,ISL,2021,83.548195
India,IND,2021,5.69
Indonesia,IDN,2021,18.55
Iran,IRN,2021,31.58
Iraq,IRQ,2021,15.65338
Ireland,IRL,2021,80.19008
Israel,ISR,2021,107.70003
Italy,ITA,2021,74.31999
Jamaica,JAM,2021,63.409977
Japan,JPN,2021,57.17
Jordan,JOR,2021,35.949974
Kazakhstan,KAZ,2021,71.83001
Kenya,KEN,2021,10.249999
Kiribati,KIR,2021,52.394714
Kuwait,KWT,2021,81.32998
Kyrgyzstan,KGZ,2021,39.01999
Land Locked Developing Countries (FAO),,2021,23.53
Laos,LAO,2021,29.840021
Latvia,LVA,2021,73.95976
Least Developed Countries (FAO),,2021,12.2
Lebanon,LBN,2021,36.320026
Lesotho,LSO,2021,21.729866
Liberia,LBR,2021,20.249992
Libya,LBY,2021,50.01
Lithuania,LTU,2021,83.54994
Low Income Food Deficit Countries (FAO),,2021,15.16
Low-income countries,,2021,12.042757
Lower-middle-income countries,,2021,15.07916
Luxembourg,LUX,2021,85.78866
Macao,MAC,2021,108.94904
Madagascar,MDG,2021,5.3799996
Malawi,MWI,2021,27.419998
Malaysia,MYS,2021,65.3
Maldives,MDV,2021,28.799503
Mali,MLI,2021,7.8099966
Malta,MLT,2021,67.78987
Mauritania,MRT,2021,32.389923
Mauritius,MUS,2021,54.1495
Mexico,MEX,2021,75.42
Micronesia (FAO),,2021,64
Micronesia (country),FSM,2021,70.361916
Middle Africa (FAO),,2021,14.87
Moldova,MDA,2021,51.807358
Mongolia,MNG,2021,115.549934
Montenegro,MNE,2021,88.41057
Morocco,MAR,2021,32.079994
Mozambique,MOZ,2021,10.379999
Myanmar,MMR,2021,19.979996
Namibia,NAM,2021,37.21
Nauru,NRU,2021,125.639015
Nepal,NPL,2021,17.340002
Net Food Importing Developing Countries (FAO),,2021,17.38
Netherlands,NLD,2021,63.80001
New Caledonia,NCL,2021,87.53726
New Zealand,NZL,2021,81.38
Nicaragua,NIC,2021,31.529974
Niger,NER,2021,8.12
Nigeria,NGA,2021,6.9599996
North America,,2021,100.880486
North Korea,PRK,2021,12.76
North Macedonia,MKD,2021,41.03002
Northern Africa (FAO),,2021,26.45
Northern America (FAO),,2021,122.77
Northern Europe (FAO),,2021,78.95
Norway,NOR,2021,74.68999
Oceania,,2021,91.205185
Oceania (FAO),,2021,91.2
Oman,OMN,2021,47.94996
Pakistan,PAK,2021,18.620003
Panama,PAN,2021,85.040115
Papua New Guinea,PNG,2021,58.480015
Paraguay,PRY,2021,36.439987
Peru,PER,2021,54.010006
Philippines,PHL,2021,32.929996
Poland,POL,2021,89.27001
Portugal,PRT,2021,94.62991
Qatar,QAT,2021,83.02003
Romania,ROU,2021,67.14001
Russia,RUS,2021,78.36001
Rwanda,RWA,2021,7.619999
Saint Kitts and Nevis,KNA,2021,96.55741
Saint Lucia,LCA,2021,89.603516
Saint Vincent and the Grenadines,VCT,2021,109.45951
Samoa,WSM,2021,106.159805
Sao Tome and Principe,STP,2021,28.288986
Saudi Arabia,SAU,2021,55.060005
Senegal,SEN,2021,19.319994
Serbia,SRB,2021,77.619995
