Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
Afghanistan,AFG,2021,1.53,3,3.91,0.02,0.3,0.35
Africa,,2021,7.2529354,5.1840444,2.3542304,1.7842323,1.2092152,9.6134205
Africa (FAO),,2021,7.25,5.19,2.35,1.78,1.21,9.61
Albania,ALB,2021,22.02,13.87,8.08,7.7,0.32,8.47
Algeria,DZA,2021,5.8400006,3.5300004,8.180001,0.010000001,0.35000002,3.7600005
Americas (FAO),,2021,45.97,27.77,0.69,18.89,0.66,14.61
Angola,AGO,2021,8.279998,3.5599992,0.7299999,7.1399984,0.27999994,13.279997
Antigua and Barbuda,ATG,2021,67.783455,8.349195,2.4197664,7.169308,0.07999228,54.574734
Argentina,ARG,2021,48.41999,48.489994,1.2999997,15.979998,1.2999997,6.769999
Armenia,ARM,2021,19.119993,26.609991,3.8699985,10.349997,0.029999988,5.719998
Asia,,2021,12.060006,5.8172345,2.1917305,13.140043,0.28419575,24.165613
Asia (FAO),,2021,12.08,5.82,2.2,13.06,0.29,24.2
Australia,AUS,2021,49.399994,26.339996,8.489999,25.219995,0.69999987,24.279997
Austria,AUT,2021,17.389988,14.18999,0.9599993,43.54997,0.2999998,14.429991
Azerbaijan,AZE,2021,15.189997,12.889998,8.229999,0.8199999,0,2.0099998
Bahamas,BHS,2021,70.188286,8.609789,1.7599568,30.919243,0.4199897,27.109337
Bahrain,BHR,2021,45.310127,14.3500395,20.990057,1.3300037,0.8600024,21.20006
Bangladesh,BGD,2021,1.6300001,1.2700001,1.3900001,0,0,25.980001
