record_id,user_id,activity_timestamp,weight,height,country_of_residence,dish_name,meal_type,ingredient_list,substitutions_list,substitutions_made,carbon_footprint_original,portion_size,hunger_rating,meal_rating,geo_location
rec_00369,Fit Felix,2023-02-18 09:32:24,71.5,176.3,Netherlands,Quinoa Salad,Breakfast,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",4,4,"(52.3622, 4.9089)"
rec_01291,Diet Dani,2023-02-18 12:11:06,80.8,170.2,Italy,Zucchini Noodles,Lunch,"['salt', 'pork', 'yogurt', 'fish']","[None, 'jackfruit', 'coconut yogurt', 'tempeh']",0,"[4.19, 0.9, 1.84, 3.38]","[147, 121, 166, 212]",3,3,"(41.9106, 12.4873)"
rec_00437,Fit Felix,2023-02-18 12:42:09,74.4,179.5,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,5,"(52.3655, 4.8923)"
rec_01236,Diet Dani,2023-02-18 18:10:54,80.2,169.0,Italy,Smoothie Bowl,Dinner,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",1,"[0.89, 4.77, 4.62]","[89, 145, 245]",3,3,"(41.8916, 12.513)"
rec_01627,Travel Terry,2023-02-19 20:52:12,79.8,181.6,Japan,Vegan Chili,Dinner,"['broccoli', 'rice', 'tofu', 'chicken', 'fish', 'beef']","[None, None, None, 'tofu', 'tempeh', 'seitan']",1,"[0.28, 1.91, 2.81, 2.21, 0.3, 1.89]","[291, 276, 226, 281, 88, 189]",4,4,"(48.8488, 2.3658)"
rec_01766,Travel Terry,2023-02-20 07:52:07,76.6,179.2,Japan,Beef Stir-Fry,Breakfast,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(35.7092, 139.6913)"
rec_01213,Diet Dani,2023-02-20 09:19:27,81.6,171.7,Italy,Grilled Chicken Salad,Breakfast,"['beef', 'chicken', 'pork', 'cheese', 'yogurt', 'pepper']","['seitan', 'tofu', 'jackfruit', 'vegan cheese', 'coconut yogurt', None]",0,"[3.54, 2.16, 2.3, 1.46, 4.36, 3.82]","[204, 56, 193, 100, 233, 216]",3,3,"(41.8913, 12.4804)"
rec_01551,Travel Terry,2023-02-20 12:22:45,79.4,179.6,Japan,Almond Milk Porridge,Lunch,"['yogurt', 'cheese', 'mushroom']","['coconut yogurt', 'vegan cheese', None]",0,"[2.17, 1.46, 1.32]","[187, 164, 85]",4,5,"(35.6837, 139.7078)"
rec_00552,Fit Felix,2023-02-20 12:40:19,70.9,177.2,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3683, 4.9229)"
rec_01700,Travel Terry,2023-02-20 18:11:32,79.3,180.5,Japan,Vegan Korma,Dinner,"['yogurt', 'chicken', 'cheese', 'tomato']","['coconut yogurt', 'tofu', 'vegan cheese', None]",0,"[4.84, 1.47, 3.24, 2.06]","[134, 121, 271, 67]",5,3,"(40.7276, -73.9958)"
rec_00304,Hardcore Henrietta,2023-02-21 09:25:34,80.5,170.6,Germany,Protein Pasta,Breakfast,"['chicken', 'pepper', 'yogurt']","['tofu', None, 'coconut yogurt']",0,"[0.6, 3.73, 2.77]","[107, 85, 238]",4,4,"(52.5297, 13.414)"
rec_00172,Hardcore Henrietta,2023-02-21 12:13:17,83.8,169.5,Germany,Beef Stir-Fry,Lunch,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(52.5041, 13.4199)"
rec_00260,Hardcore Henrietta,2023-02-21 14:12:46,79.3,169.3,Germany,Beef Stir-Fry,Lunch,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,4,"(52.5333, 13.3926)"
rec_00945,Budget Billie,2023-02-21 20:12:12,58.7,164.9,India,Ramen with Veggies,Dinner,"['garlic', 'yogurt', 'milk', 'spinach', 'quinoa', 'beef']","[None, 'coconut yogurt', 'almond milk', None, None, 'seitan']",0,"[0.88, 3.43, 3.02, 1.99, 3.02, 2.39]","[243, 62, 270, 78, 89, 210]",4,3,"(12.954, 77.5933)"
rec_00206,Hardcore Henrietta,2023-02-22 08:01:14,84.0,172.6,Germany,Beef Stir-Fry,Breakfast,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",3,4,"(52.5004, 13.3984)"
rec_00301,Hardcore Henrietta,2023-02-22 09:39:04,78.2,168.9,Germany,Beef Stir-Fry,Breakfast,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",3,4,"(52.5029, 13.4221)"
rec_01715,Travel Terry,2023-02-22 13:19:15,79.0,181.9,Japan,Quinoa Bowl,Lunch,"['yogurt', 'egg', 'mushroom', 'rice']","['coconut yogurt', 'flax egg', None, None]",1,"[1.73, 4.66, 4.03, 4.33]","[56, 95, 238, 286]",4,4,"(35.6816, 139.706)"
rec_01895,Travel Terry,2023-02-22 14:29:03,78.4,179.8,Japan,Vegan Quesadilla,Lunch,"['onion', 'cheese', 'pasta', 'tofu', 'spinach', 'tomato']","[None, 'vegan cheese', None, None, None, None]",0,"[2.17, 4.19, 2.4, 3.77, 0.36, 4.76]","[275, 147, 121, 242, 293, 262]",5,3,"(40.7249, -74.0225)"
rec_00059,Hardcore Henrietta,2023-02-23 13:13:49,75.5,169.0,Germany,Beef Stir-Fry,Lunch,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",1,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,5,"(52.5003, 13.4149)"
rec_00737,Vegan Vera,2023-02-23 19:44:34,55.1,166.0,Sweden,Vegan Buddha Bowl,Dinner,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",0,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",3,5,"(59.3473, 18.0815)"
rec_00356,Fit Felix,2023-02-24 13:51:18,74.6,179.7,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,3,"(52.3551, 4.9194)"
rec_01764,Travel Terry,2023-02-25 07:47:27,79.3,180.0,Japan,Chickpea Curry,Breakfast,"['salt', 'rice', 'broccoli', 'quinoa', 'milk', 'fish']","[None, None, None, None, 'almond milk', 'tempeh']",0,"[2.76, 3.77, 0.38, 2.96, 2.56, 4.28]","[125, 105, 297, 64, 198, 238]",4,3,"(35.6786, 139.6776)"
rec_01605,Travel Terry,2023-02-25 08:17:36,75.7,181.1,Japan,Veggie Burger,Breakfast,"['tofu', 'pork', 'rice']","[None, 'jackfruit', None]",1,"[2.66, 4.68, 1.1]","[218, 199, 194]",4,5,"(35.6939, 139.6944)"
rec_00228,Hardcore Henrietta,2023-02-26 12:15:44,81.7,172.3,Germany,Protein Pasta,Lunch,"['chicken', 'pepper', 'yogurt']","['tofu', None, 'coconut yogurt']",1,"[0.6, 3.73, 2.77]","[107, 85, 238]",4,4,"(52.5001, 13.4004)"
rec_00148,Hardcore Henrietta,2023-02-26 14:46:17,79.9,165.1,Germany,Beef Stir-Fry,Lunch,"['quinoa', 'tomato', 'pasta', 'milk']","[None, None, None, 'almond milk']",0,"[2.85, 1.39, 2.96, 4.5]","[117, 85, 113, 240]",4,5,"(52.5279, 13.4022)"
rec_01628,Travel Terry,2023-02-26 19:01:51,77.5,180.4,Japan,Vegan Wrap,Dinner,"['broccoli', 'tofu', 'yogurt', 'quinoa', 'mushroom', 'milk']","[None, None, 'coconut yogurt', None, None, 'almond milk']",1,"[3.43, 2.08, 0.91, 2.39, 0.73, 3.15]","[161, 174, 57, 149, 136, 221]",4,3,"(35.6898, 139.6857)"
rec_01139,Budget Billie,2023-02-26 20:43:05,58.3,166.1,India,Ramen with Veggies,Dinner,"['garlic', 'yogurt', 'milk', 'spinach', 'quinoa', 'beef']","[None, 'coconut yogurt', 'almond milk', None, None, 'seitan']",0,"[0.88, 3.43, 3.02, 1.99, 3.02, 2.39]","[243, 62, 270, 78, 89, 210]",4,2,"(12.9795, 77.5988)"
rec_00934,Budget Billie,2023-02-28 14:38:58,60.9,166.0,India,Ramen with Veggies,Lunch,"['garlic', 'yogurt', 'milk', 'spinach', 'quinoa', 'beef']","[None, 'coconut yogurt', 'almond milk', None, None, 'seitan']",1,"[0.88, 3.43, 3.02, 1.99, 3.02, 2.39]","[243, 62, 270, 78, 89, 210]",4,2,"(12.9594, 77.5988)"
rec_01614,Travel Terry,2023-03-01 08:25:36,75.8,181.2,Japan,Vegan Casserole,Breakfast,"['tomato', 'broccoli', 'chicken', 'salt', 'spinach']","[None, None, 'tofu', None, None]",0,"[3.31, 2.38, 2.27, 1.15, 2.42]","[103, 160, 251, 198, 205]",4,5,"(35.6783, 139.6818)"
rec_00622,Fit Felix,2023-03-01 14:08:41,71.7,177.3,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.348, 4.891)"
rec_00806,Vegan Vera,2023-03-01 19:32:52,57.9,165.1,Sweden,Quinoa Salad,Dinner,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(59.3275, 18.065)"
rec_01680,Travel Terry,2023-03-02 07:53:59,78.0,179.4,Japan,Vegan Shepherd’s Pie,Breakfast,"['pork', 'salt', 'spinach', 'onion']","['jackfruit', None, None, None]",0,"[1.25, 1.62, 4.05, 0.82]","[73, 259, 293, 242]",4,4,"(35.6933, 139.6982)"
rec_01858,Travel Terry,2023-03-02 14:51:36,79.7,178.3,Japan,Vegan Wrap,Lunch,"['beef', 'onion', 'pork']","['seitan', None, 'jackfruit']",1,"[3.38, 1.15, 0.75]","[181, 110, 121]",4,4,"(48.8379, 2.3567)"
rec_01747,Travel Terry,2023-03-02 19:42:44,75.8,179.0,Japan,Vegetable Stir-Fry,Dinner,"['pork', 'onion', 'mushroom', 'fish', 'salt', 'pepper']","['jackfruit', None, None, 'tempeh', None, None]",1,"[1.55, 0.72, 2.16, 4.71, 3.42, 4.52]","[129, 220, 154, 133, 153, 228]",4,5,"(48.8634, 2.3567)"
rec_00359,Fit Felix,2023-03-04 07:34:01,71.4,178.1,Netherlands,Quinoa Salad,Breakfast,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",1,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3762, 4.9132)"
rec_00533,Fit Felix,2023-03-04 13:37:01,72.1,177.6,Netherlands,Quinoa Salad,Lunch,"['onion', 'beef', 'yogurt', 'mushroom']","[None, 'seitan', 'coconut yogurt', None]",0,"[0.42, 4.57, 2.88, 3.62]","[256, 130, 152, 118]",3,4,"(52.3705, 4.9164)"
rec_01089,Budget Billie,2023-03-04 14:03:35,59.4,166.0,India,Stir-fried Rice,Lunch,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",1,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",4,3,"(12.9901, 77.5958)"
rec_00830,Vegan Vera,2023-03-05 07:41:50,58.0,168.0,Sweden,Vegan Buddha Bowl,Breakfast,"['rice', 'onion', 'pepper', 'milk']","[None, None, None, 'almond milk']",0,"[0.6, 1.96, 1.86, 1.79]","[105, 295, 245, 136]",4,4,"(59.3207, 18.0823)"
rec_01215,Diet Dani,2023-03-05 09:39:24,79.7,171.5,Italy,Smoothie Bowl,Breakfast,"['salt', 'spinach', 'cheese']","[None, None, 'vegan cheese']",0,"[0.89, 4.77, 4.62]","[89, 145, 245]",3,3,"(41.9109, 12.5004)"
rec_01028,Budget Billie,2023-03-05 12:55:50,59.0,165.1,India,Stir-fried Rice,Lunch,"['broccoli', 'chicken', 'fish', 'pepper', 'onion']","[None, 'tofu', 'tempeh', None, None]",0,"[0.12, 3.64, 3.63, 4.86, 3.83]","[78, 125, 161, 90, 166]",4,2,"(12.966, 77.6055)"
